GammaVision Nuclide Library Suspect.Lib                         Page:   1
       21.18keV         0.99%            -X------
      511.00keV         0.57%            G-------
       21.02keV         0.52%            -X------
      433.94keV          0.5%            G-------
       23.80keV         0.31%            -X------
      618.86keV        0.261%            G-------
     1007.22keV      0.01392%            G-------
      880.26keV     0.003192%            G-------
     1441.14keV     0.003042%            G-------
      497.10keV     0.002244%            G-------
      388.60keV     0.001845%            G-------
      510.10keV     0.001746%            G-------
     1106.00keV     0.001646%            G-------
     1540.00keV     0.001047%            G-------
      383.20keV     0.000898%            G-------
      931.12keV     0.000549%            G-------

   Ag-110M         249.8 Days     0.1000 TF------
      657.76keV           94%            G-------
      884.68keV         72.2%            G-------
      937.49keV        34.13%            G-------
     1384.30keV        24.12%            G-------
      763.94keV        22.14%            G-------
      706.68keV        16.33%            G-------
     1505.04keV        12.95%            G-------
      677.62keV        10.28%            G-------
      818.03keV         7.29%            G-------
      687.02keV         6.39%            G-------
      744.28keV          4.7%            G-------
     1475.79keV        3.969%            G-------
      446.81keV         3.72%            G-------
      620.36keV        2.787%            G-------
     1562.30keV        1.022%            G-------
       22.16keV         0.36%            -X------
      708.13keV        0.273%            G-------
      626.26keV        0.214%            G-------
       21.99keV        0.188%            -X------

    Cd-109         462.6 Days     0.1000 TF------
       22.16keV         55.2%            -X------
       21.99keV         29.1%            -X------
       24.90keV         17.8%            -X------
       88.03keV         3.61%            G-------

    Sn-113         115.1 Days     0.1000 TF------
      391.69keV           64%            G-------
       24.21keV           52%            -X------
       24.00keV         27.6%            -X------
       27.30keV         17.3%            -X------
      255.06keV         1.82%            G-------
      638.03keV     0.000954%            G-------

    Sb-122         65.37 Hrs.     0.1000 TF------
      564.24keV        70.67%            G-------
      692.65keV         3.85%            G-------
       25.27keV         0.95%            -X------
     1256.93keV         0.81%            G-------
     1140.67keV         0.76%            G-------
       25.04keV         0.51%            -X------
       28.50keV        0.321%            -X------
      793.30keV        0.016%            G-------
      615.00keV        0.011%            G-------
      511.00keV         0.01%            G-------
     1752.40keV     0.009188%            G-------
     1188.00keV      0.00424%            G-------

    Sb-124          60.2 Days     0.1000 TF------
      602.73keV         97.8%            G-------
     1690.98keV         47.3%            G-------
      722.79keV        10.76%            G-------
      645.85keV         7.38%            G-------
     2090.94keV         5.57%            G-------
     1368.16keV         2.62%            G-------
      713.78keV         2.27%            G-------
      968.20keV        1.888%            G-------
     1045.13keV         1.84%            G-------
     1325.51keV         1.62%            G-------
      709.32keV         1.35%            G-------
     1436.56keV         1.23%            G-------
     1355.18keV         1.04%            G-------
      790.71keV        0.743%            G-------
     1488.89keV         0.69%            G-------
     1376.11keV          0.5%            G-------
     1579.78keV         0.41%            G-------
     1526.18keV          0.4%            G-------
     1445.06keV         0.33%            G-------
       27.47keV        0.224%            -X------

    Sb-125         2.758 Yrs.     0.1000 TFI-----
      427.88keV         29.6%            G-------
       27.47keV         24.7%            -X------
      600.60keV         17.9%            G-------
       27.20keV         13.3%            -X------
      635.95keV         11.3%            G-------
      463.36keV         10.5%            G-------
       31.00keV          8.6%            -X------
      176.31keV         6.82%            G-------
      606.72keV         5.03%            G-------
       35.49keV         4.29%            G-------
      671.45keV         1.79%            G-------
      380.45keV         1.52%            G-------
      321.03keV        0.411%            G-------
      204.14keV        0.326%            G-------
      443.55keV        0.302%            G-------
      116.95keV        0.284%            G-------
      208.08keV        0.241%            G-------
      172.72keV        0.198%            G-------
      408.07keV        0.184%            G-------

    Sb-126         12.46 Days     0.1000 -FI-----
      695.00keV         99.6%            G-------
      666.30keV         99.6%            G-------
      414.80keV         83.3%            G-------
      720.50keV         53.8%            G-------
